Name,Scientific_Name,Conservation_Status,habitat,Color,Found_In,Diet,Species,Image Link,,
Orinoco crocodile,Crocodylus intermedius,Critically Endangered,Orinoco River basin,Grayish-Brown,Venezuela,Carnivore,Crocodile,https://www.google.com/search?q=crocodylus%20intermedius&tbm=isch&hl=en&tbs=rimg:CZsWOx5pEh8AYZrKlb_Cd1NGsgIMCgIIABAAOgQIABAAwAIA&sa=X&ved=0CBoQuIIBahcKEwjQkq6U-sP9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
Philippine crocodile,Crocodylus mindorensis,Critically Endangered,Fresh Water,Olive-Brown,Philippines,Carnivore,Crocodile,https://www.google.com/search?q=Philippine%20crocodile&tbm=isch&hl=en&tbs=rimg:CZnOygDl5LRnYQHRmpq2OsH3sgIMCgIIABAAOgQIABAAwAIA&sa=X&ved=0CBoQuIIBahcKEwiYzJ3k-sP9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
Cuban crocodile,Crocodylus rhombifer,Critically Endangered,Fresh Water,Olive-Brown,Cuba,Carnivore,Crocodile,https://www.google.com/search?q=Crocodylus%20rhombifer&tbm=isch&hl=en&tbs=rimg:CaX2-iCcCXNtYaSgnxnT4uS0sgIMCgIIABAAOgQIABAAwAIA&sa=X&ved=0CBoQuIIBahcKEwi4hLP2-sP9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
Siamese crocodile,Crocodylus siamensis,Critically Endangered,Fresh Water,Grayish-Brown,Cambodia,Carnivore,Crocodile,https://www.google.com/search?q=Crocodylus%20siamensis&tbm=isch&hl=en&tbs=rimg:CTG8EP5TJvePYeAY9gIV1QpMsgIMCgIIABAAOgQIABAAwAIA&sa=X&ved=0CBoQuIIBahcKEwiYzsiN-8P9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
West African Slender-snouted crocodile,Mecistops cataphractus,Critically Endangered,Tropical Region ,Dark-Brown,Angola,Carnivore,Crocodile,https://www.google.com/search?q=Mecistops%20cataphractus&tbm=isch&hl=en&tbs=rimg:CTQqkbY9u7BBYZW7fPdj0T_6sgIMCgIIABAAOgQIABABwAIA&sa=X&ved=0CBoQuIIBahcKEwiw98ak-8P9AhUAAAAAHQAAAAAQDw&biw=1519&bih=746,,
Chinese alligator,Alligator sinensis,Critically Endangered,Yangtze River basin,Dark-Brown,China,Carnivore,Crocodile,https://www.google.com/search?q=Alligator%20sinensis&tbm=isch&hl=en&tbs=rimg:Cai9emZndE1sYf6qAcEScjzcsgIMCgIIABAAOgQIABABwAIA&sa=X&ved=0CBoQuIIBahcKEwioiJa8-8P9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
Gharial,Gavialis gangeticus,Critically Endangered,Fresh Water ,Light-Brown,India,Carnivore,Crocodile,https://www.google.com/search?q=Gavialis%20gangeticus&tbm=isch&hl=en&tbs=rimg:CQ2yaiR3Kl0aYSyc4MOq45I0sgIMCgIIABAAOgQIABAAwAIA&sa=X&ved=0CBoQuIIBahcKEwjYwNTJ-8P9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
Black caiman,Melanosuchus niger,Lower Risk,Amazon basin,Brown-Black,Brazil,Carnivore,Crocodile,https://www.google.com/search?q=Melanosuchus%20niger&tbm=isch&hl=en&tbs=rimg:CboLPlsICnC1YWGzMQ8TXTNVsgIMCgIIABAAOgQIABABwAIA&sa=X&ved=0CBoQuIIBahcKEwiojM6Y_MP9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
Freshwater crocodile,Crocodylus johnsoni,Lower Risk,Northern Australia,Olive-Brown,Australia,Carnivore,Crocodile,https://www.google.com/search?q=Crocodylus%20johnsoni&tbm=isch&hl=en&tbs=rimg:CbMbQr8ApobiYUpZa5b7cUZhsgIMCgIIABAAOgQIABAAwAIA&sa=X&ved=0CBwQuIIBahcKEwigsdio_MP9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
Morelet’s crocodile or Mexican crocodile,Crocodylus moreletii,Lower Risk,Mangroves,Dark-Gray,Belize,Carnivore,Crocodile,https://www.google.com/search?q=Crocodylus%20moreletii&tbm=isch&hl=en&tbs=rimg:CVUq4MhW4XpJYbRm1I5A9n4-sgIMCgIIABAAOgQIABAAwAIA&sa=X&ved=0CBoQuIIBahcKEwjIi8jj_MP9AhUAAAAAHQAAAAAQBw&biw=1519&bih=746,,
