columns,values
Name,Orinoco crocodile
Name,Philippine crocodile
Name,Cuban crocodile
Name,Siamese crocodile
Name,West African Slender-snouted crocodile
Name,Chinese alligator
Name,Gharial
Name,Black caiman
Name,Freshwater crocodile
Name,Morelet’s crocodile or Mexican crocodile
Name,Nile crocodile
Name,New Guinea crocodile
Name,Saltwater crocodile
Name,American alligator
Name,Spectacled caiman
Name,Broad-snouted caiman
Name,Yacaré caiman
Name,Cuvier’s dwarf caiman
Name,Schneider’s dwarf caiman
Name,American crocodile
Name,Indian crocodile
Name,Dwarf crocodile
Name,False gharial
Name,Desert iguana
Name,Western fence lizard 
Name,Mediterranean house gecko 
Name,Chinese water dragon   
Name,Common wall lizard   
Name,Green anole   
Name,Ocellated lizard   
Name,Gidgee skink   
Name,Asian water monitor   
Name,Common five-lined skink   
Name,Moroccan rock lizard   
Name,Striped skink   
Name,Eastern fence lizard   
Name,Plumed basilisk   
Name,Madagascar ground gecko 
Name,Egyptian spiny-tailed lizard 
Name,Philippine sailfin lizard 
Name,Blue-tailed day gecko 
Name,Bell's angle-headed lizard 
Name,Mexican beaded lizard 
Name,Jamaican iguana 
Name,Black rat snake 
Name,Bullsnake 
Name,Corn snake 
Name,Garter snake 
Name,Milk snake 
Name,Red-sided garter snake 
Name,Rough green snake 
Name,Northern water snake 
Name,Brown water snake 
Name,Eastern hog-nosed snake 
Name,Pine snake 
Name,Coachwhip snake 
Name,Eastern ribbon snake 
Name,Grass snake 
Name,Western hognose snake 
Name,Smooth snake 
Name,Cat-eyed snake 
Name,Malayan Krait 
Name,Aruba Island rattlesnake 
Name,Antiguan racer 
Name,Madagascar ground boa 
Name,Sri Lankan pitviper 
Name,Hawksbill sea snake 
Name,Sierra Madre ground snake 
Name,Trinidad bushmaster 
Name,Chinese cobra 
Name,Indian python 
Name,Emerald tree boa 
Name,Indigo snake 
Name,Black-headed python 
Name,Gaboon viper 
Name,Golden lancehead 
Name,Hawksbill turtle 
Name,Leatherback turtle 
Name,Red-eared slider 
Name,Blanding's turtle 
Name,Radiated tortoise 
Name,Spiny turtle 
Name,Indian roofed turtle 
Name,Chinese softshell turtle 
Name,Yangtze giant softshell turtle 
Name,Indian narrow-headed softshell turtle 
Name,Angonoka tortoise 
Name,Loggerhead sea turtle 
Name,Painted turtle 
Name,Eastern box turtle 
Name,Northern diamondback terrapin 
Name,Common snapping turtle 
Name,Spotted turtle 
Name,Western pond turtle 
Name,Yellow-bellied slider 
Name,Chinese pond turtle 
Name,Indian flapshell turtle 
Name,Four-eyed turtle 
Name,Painted river turtle 
Name,Blue-tailed skink 
Name,Lord Howe Island skink 
Name,Blue Mountains water skink 
Name,Three Kings Islands skink 
Name,Fiji banded iguana 
Name,Grand Cayman blue iguana 
Name,Lesser Antillean iguana 
Name,Utila spiny-tailed iguana 
Scientific_Name,Crocodylus intermedius
Scientific_Name,Crocodylus mindorensis
Scientific_Name,Crocodylus rhombifer
Scientific_Name,Crocodylus siamensis
Scientific_Name,Mecistops cataphractus
Scientific_Name,Alligator sinensis
Scientific_Name,Gavialis gangeticus
Scientific_Name,Melanosuchus niger
Scientific_Name,Crocodylus johnsoni
Scientific_Name,Crocodylus moreletii
Scientific_Name,Crocodylus niloticus
Scientific_Name,Crocodylus novaeguineae
Scientific_Name,Crocodylus porosus
Scientific_Name,Alligator mississippiensis
Scientific_Name,Caiman crocodilus
